Giocatore,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
Alessandro Florenzi,1.0,0.7,0.3,0.0,0.2,0.5,0.0,0.0,6.56
Alexis Saelemaekers,1.0,0.6,0.8,0.0,0.2,0.7,0.0,0.0,6.59
Ante Rebic,0.4,0.0,0.8,0.0,0.2,0.3,0.0,0.0,6.46
Antonio Mirante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12
Aster Vranckx,0.3,0.2,0.7,0.0,0.1,0.6,0.1,0.0,6.15
Brahim Díaz,1.0,0.2,0.9,0.0,0.1,0.3,0.0,0.0,6.79
Charles De Ketelaere,0.8,0.1,0.6,0.0,0.3,0.5,0.1,0.0,6.38
Ciprian Tatarusanu,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,6.59
Davide Calabria,2.8,1.0,0.6,0.2,1.2,0.9,0.3,0.0,6.77
Divock Origi,0.4,0.0,0.5,0.0,0.5,0.2,0.1,0.0,6.32
Fikayo Tomori,2.1,0.9,0.8,0.3,2.3,0.4,0.8,0.0,6.89
Fodé Ballo-Touré,1.4,0.2,0.5,0.0,0.3,0.3,0.3,0.0,6.56
Ismaël Bennacer,2.1,0.9,1.3,0.0,0.5,0.8,0.3,0.0,6.96
Junior Messias,1.0,0.3,1.0,0.0,1.0,0.6,0.2,0.0,6.82
Malick Thiaw,1.6,0.6,0.7,0.2,3.3,0.5,0.3,0.0,6.76
Marko Lazetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79
Matteo Gabbia,1.4,0.4,0.7,0.4,2.4,0.2,0.3,0.0,6.33
Mike Maignan,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,6.64
Olivier Giroud,0.2,0.1,1.2,0.0,0.7,0.2,0.1,0.0,6.88
Pierre Kalulu,1.7,1.2,0.7,0.3,1.4,0.4,0.5,0.0,6.59
Rade Krunic,1.7,0.7,0.7,0.0,0.8,1.5,0.5,0.0,6.81
Rafael Leão,0.2,0.4,0.6,0.0,0.2,0.2,0.1,0.0,7.19
Sandro Tonali,1.9,0.7,1.0,0.1,0.5,0.5,0.3,0.0,6.91
Sergiño Dest,1.5,0.5,0.8,0.0,0.1,0.1,0.0,0.0,6.41
Simon Kjær,0.9,0.5,0.5,0.2,2.0,0.2,0.6,0.0,6.51
Théo Hernández,1.3,0.7,0.7,0.1,1.0,0.5,0.2,1.0,6.87
